,BookingID,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,MealPlan,Parking,RoomType,NumAdults,NumChildren,MarketSegment,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,BookingStatus
38,29058,335,2018,10,13,0,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,90.0,1,0.0015149213
39,29059,103,2017,8,22,2,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,55.96,0,0.48330224
40,29060,4,2017,9,19,2,2,Meal Plan 1,0,Room_Type 6,1,2,Online,0,0,0,200.75,2,0.9979955
41,29061,15,2018,3,18,0,2,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,127.0,1,0.9994857
42,29062,36,2018,12,26,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,102.0,0,0.9781597
43,29063,35,2018,12,2,2,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,74.8,2,0.9997039
44,29064,79,2018,6,16,2,4,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,120.6,0,0.65637964
45,29065,33,2018,2,8,1,0,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,80.3,1,0.9960987
46,29066,0,2017,11,9,1,3,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,91.0,1,0.98835164
47,29067,43,2017,10,2,2,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,58.4,0,0.95324147
48,29068,102,2017,10,16,0,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,101.5,0,0.7956288
49,29069,57,2018,12,9,0,2,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,126.0,2,0.99824274
50,29070,167,2018,6,28,0,4,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,62.18,0,0.96112865
51,29071,113,2018,9,7,1,4,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,118.8,0,0.27682745
52,29072,1,2018,8,10,0,2,Not Selected,1,Room_Type 1,2,0,Online,0,0,0,167.0,0,0.999819
53,29073,128,2017,8,8,1,1,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,76.5,2,0.9866735
54,29074,118,2018,4,3,2,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,87.3,1,0.789109
55,29075,41,2017,9,4,0,1,Meal Plan 2,0,Room_Type 1,1,0,Offline,0,0,0,83.0,0,0.88838404
56,29076,68,2018,1,2,2,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,1,1,0,63.0,1,0.9964246
57,29077,189,2018,10,28,1,2,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,109.8,0,0.85374427
58,29078,95,2017,12,29,0,4,Meal Plan 1,0,Room_Type 4,2,0,Offline,0,0,0,60.5,0,0.95629084
59,29079,83,2017,9,30,0,1,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,112.2,0,0.94521064
60,29080,37,2018,8,1,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,135.9,0,0.97542524
61,29081,151,2018,7,9,2,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,103.09,0,0.47939953
62,29082,79,2018,6,24,0,2,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,109.0,0,0.96269244
63,29083,245,2018,6,17,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,75.0,0,0.49247533
64,29084,273,2017,7,17,0,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,109.0,0,0.4672731
65,29085,110,2017,7,25,2,1,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,94.5,0,0.537595
66,29086,127,2018,6,26,2,2,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,103.7,1,0.7862176
67,29087,11,2018,7,5,2,6,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,145.0,0,0.71476823
68,29088,1,2018,2,28,2,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,60.0,0,0.9246496
69,29089,50,2018,2,22,1,4,Meal Plan 1,0,Room_Type 1,3,0,Online,0,0,0,78.85,1,0.9969836
70,29090,39,2018,8,13,2,3,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,170.1,2,0.9977334
71,29091,386,2018,10,23,2,0,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,115.0,1,0.18249424
72,29092,22,2017,12,29,0,5,Meal Plan 1,0,Room_Type 6,2,2,Online,0,0,0,199.0,0,0.99822944
73,29093,102,2018,7,10,2,2,Meal Plan 1,0,Room_Type 4,2,0,Offline,0,0,0,82.45,0,0.8716781
74,29094,17,2018,5,21,2,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,95.0,0,0.9867792
75,29095,125,2018,9,7,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,136.0,2,0.9320947
76,29096,107,2017,9,9,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,89.25,1,0.88886714
77,29097,29,2018,3,18,0,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,79.0,0,0.9977969
78,29098,124,2018,12,26,1,3,Meal Plan 1,0,Room_Type 6,2,1,Online,0,0,0,156.61,2,0.98681915
79,29099,85,2018,8,3,0,3,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,152.1,0,0.97655576
80,29100,71,2018,5,30,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,119.85,1,0.9635107
81,29101,37,2018,5,13,0,1,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,116.1,0,0.98635757
82,29102,3,2018,6,27,1,0,Meal Plan 1,0,Room_Type 1,1,0,Complementary,0,0,0,0.0,0,0.85232013
83,29103,5,2018,4,5,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,1,0,1,89.0,1,0.9994936
84,29104,386,2018,10,23,2,0,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,115.0,1,0.18249424
85,29105,25,2018,7,2,1,1,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,187.0,0,0.99838567
86,29106,1,2018,4,1,0,1,Meal Plan 1,1,Room_Type 1,1,0,Corporate,1,0,3,67.0,1,0.99958354
87,29107,7,2018,6,19,2,2,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,156.0,1,0.9967943
88,29108,5,2018,4,4,3,5,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,126.75,0,0.96016616
89,29109,24,2018,10,16,2,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,107.1,1,0.99913114
90,29110,52,2018,11,19,2,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,93.6,2,0.9953697
91,29111,56,2018,6,8,0,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,120.0,0,0.9883449
92,29112,2,2018,5,31,0,3,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,87.78,0,0.9977106
93,29113,4,2017,8,8,2,1,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,94.5,0,0.99060047
94,29114,60,2017,12,9,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,96.3,1,0.98850936
95,29115,268,2018,4,8,2,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,78.0,0,0.0024734228
96,29116,2,2018,10,11,0,1,Meal Plan 1,1,Room_Type 1,2,0,Online,0,0,0,169.0,2,0.999977
97,29117,94,2018,7,8,2,2,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,146.7,1,0.991314
98,29118,70,2017,10,22,0,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,89.25,1,0.9842107
99,29119,78,2018,4,10,2,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,80.75,1,0.90762156
100,29120,213,2018,6,7,0,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,130.0,0,0.79163766
101,29121,209,2018,10,21,2,3,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,128.7,1,0.33457556
102,29122,69,2018,3,20,2,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.95,1,0.9468936
103,29123,67,2017,12,5,2,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,95.4,2,0.99715936
104,29124,0,2018,10,15,0,1,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,140.0,0,0.99922025
105,29125,58,2018,6,10,0,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,116.1,1,0.9970096
106,29126,5,2018,6,21,0,2,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,156.0,1,0.9998458
107,29127,82,2018,3,24,1,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,99.45,0,0.8280557
108,29128,2,2018,6,10,0,2,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,136.0,1,0.99987936
109,29129,26,2018,6,8,0,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,120.0,0,0.9958931
110,29130,1,2018,11,29,0,1,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,75.0,0,0.97653633
111,29131,386,2018,10,23,2,0,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,115.0,1,0.18249424
112,29132,273,2017,7,17,0,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,109.0,0,0.4672731
113,29133,188,2018,6,15,0,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,130.0,0,0.80656475
114,29134,1,2018,2,3,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,66.0,1,0.98225486
115,29135,1,2018,4,9,2,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,115.0,1,0.9793788
116,29136,110,2018,4,20,0,2,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,90.95,0,0.8115292
117,29137,25,2018,10,3,1,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,129.0,1,0.99961287
118,29138,105,2018,6,11,2,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,119.85,2,0.9580054
119,29139,245,2018,6,17,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,75.0,0,0.49247533
120,29140,27,2018,6,29,0,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,125.25,1,0.99877095
121,29141,85,2018,6,20,1,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,126.9,0,0.8390956
122,29142,265,2018,6,24,0,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,109.0,0,0.5685254
123,29143,64,2018,4,15,2,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,112.2,0,0.8554632
124,29144,0,2017,10,1,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,109.0,1,0.98606145
125,29145,36,2018,12,28,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,168.73,0,0.9858272
126,29146,32,2017,9,5,2,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,94.5,3,0.99984246
127,29147,3,2017,9,7,1,1,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,98.8,0,0.9432545
128,29148,8,2018,6,19,1,0,Meal Plan 2,0,Room_Type 7,2,0,Complementary,1,0,1,0.0,1,0.99965906
129,29149,0,2017,8,25,0,2,Meal Plan 1,0,Room_Type 6,2,2,Online,0,0,0,156.0,1,0.99978155
130,29150,34,2018,6,14,0,3,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,107.1,1,0.99945337
131,29151,122,2018,5,12,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,105.3,1,0.85559034
132,29152,116,2018,2,28,2,1,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,82.0,0,0.11764933
133,29153,12,2018,2,6,2,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,55.72,0,0.98830366
134,29154,37,2018,10,13,0,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,105.0,0,0.9901585
135,29155,10,2018,1,28,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,66.0,0,0.9214323
136,29156,43,2018,5,31,0,3,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,115.5,0,0.81608456
137,29157,170,2018,4,8,2,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,78.0,0,0.3319133
138,29158,1,2018,2,27,0,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,103.0,1,0.9998894
139,29159,77,2018,5,1,2,0,Not Selected,1,Room_Type 1,2,0,Online,0,0,0,125.1,0,0.8494817
140,29160,4,2018,1,28,0,3,Meal Plan 1,1,Room_Type 1,1,0,Online,0,0,0,95.0,1,0.9925506
141,29161,68,2018,9,9,1,2,Meal Plan 2,0,Room_Type 1,2,1,Online,0,0,0,166.35,2,0.994825
142,29162,40,2018,5,13,1,2,Meal Plan 1,0,Room_Type 7,2,0,Online,0,0,0,203.73,2,0.999153
143,29163,188,2018,6,15,0,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,130.0,0,0.80656475
144,29164,256,2018,8,31,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.95,0,0.2660283
145,29165,16,2018,11,16,0,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,93.0,0,0.99818206
146,29166,105,2018,10,12,0,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,75.0,0,0.92031354
147,29167,54,2018,7,2,2,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,119.7,0,0.8089146
148,29168,222,2018,8,14,4,10,Meal Plan 1,0,Room_Type 6,2,2,Online,0,0,0,158.95,0,0.040111512
149,29169,17,2017,10,15,2,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,94.95,1,0.9919418
150,29170,7,2018,12,30,1,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,120.0,0,0.9993001
151,29171,6,2018,3,4,0,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,91.0,0,0.9996754
152,29172,25,2018,4,15,2,3,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,149.4,0,0.9595748
153,29173,5,2018,5,24,0,2,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,100.0,0,0.91187185
154,29174,18,2017,12,1,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,69.0,2,0.99991894
155,29175,166,2018,11,1,0,3,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,110.0,0,0.6387478
156,29176,68,2018,4,1,2,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,75.65,1,0.94558525
157,29177,292,2018,7,21,0,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,115.0,0,0.30647662
158,29178,0,2017,9,7,1,1,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,118.8,0,0.99749184
159,29179,257,2017,7,1,0,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,101.5,0,0.6365742
160,29180,155,2018,8,1,3,9,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,119.71,1,0.846899
161,29181,91,2018,9,14,0,3,Meal Plan 1,0,Room_Type 1,1,0,Corporate,1,3,15,65.0,0,0.97382635
162,29182,76,2018,7,2,0,1,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,131.4,0,0.96436226
163,29183,4,2018,2,15,1,2,Meal Plan 1,0,Room_Type 1,1,0,Complementary,1,0,1,0.0,1,0.9996927
164,29184,14,2018,10,22,0,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,160.0,0,0.99827576
165,29185,6,2018,10,3,1,0,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,89.0,0,0.8946972
166,29186,60,2018,3,20,2,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,75.0,0,0.88799286
167,29187,301,2018,7,30,1,1,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,115.0,1,0.878326
168,29188,81,2017,12,6,1,0,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,76.5,2,0.98600835
169,29189,54,2018,5,12,2,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,132.6,0,0.90164816
170,29190,130,2018,11,26,2,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,68.0,0,0.7638599
171,29191,221,2018,12,29,0,3,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,79.5,2,0.9987184
172,29192,1,2017,11,10,0,2,Meal Plan 1,0,Room_Type 1,1,0,Corporate,1,0,1,40.0,1,0.9995444
173,29193,2,2017,12,11,0,1,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,75.0,0,0.97565424
174,29194,156,2018,8,21,2,1,Not Selected,1,Room_Type 1,2,0,Online,0,0,0,103.5,0,0.84615594
175,29195,0,2017,10,1,0,1,Meal Plan 1,0,Room_Type 1,1,0,Complementary,1,0,1,0.0,0,0.99964595
176,29196,46,2018,8,24,0,3,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,168.3,2,0.9990195
177,29197,17,2018,11,16,0,4,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,74.8,2,0.9999602
178,29198,159,2018,9,30,2,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,134.46,2,0.9106067
179,29199,17,2017,11,3,0,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.95,1,0.99900335
180,29200,9,2018,2,21,2,1,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,79.0,0,0.97084594
181,29201,5,2018,5,24,0,2,Meal Plan 1,0,Room_Type 1,2,0,Corporate,0,0,0,110.0,1,0.9992244
182,29202,19,2017,10,7,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,85.5,0,0.8892832
183,29203,0,2018,6,17,0,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,129.0,1,0.999961
184,29204,29,2018,12,2,0,2,Meal Plan 1,0,Room_Type 1,2,0,Corporate,0,0,0,85.0,0,0.9942801
185,29205,11,2018,10,10,1,1,Meal Plan 1,0,Room_Type 4,2,0,Offline,0,0,0,107.0,0,0.99615216
186,29206,73,2018,4,3,2,1,Not Selected,0,Room_Type 1,2,1,Online,0,0,0,94.0,1,0.9812243
187,29207,186,2018,7,12,0,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.95,2,0.97378755
188,29208,263,2017,9,21,1,0,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,59.5,0,0.011767244
189,29209,39,2017,8,14,0,2,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,109.0,1,0.9957545
190,29210,19,2018,11,2,0,1,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,75.0,0,0.9433681
191,29211,5,2017,9,20,2,0,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,92.4,1,0.98172367
192,29212,0,2018,6,23,0,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,69.84,0,0.98577684
193,29213,15,2017,8,27,0,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,80.0,1,0.99118793
194,29214,141,2018,9,23,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,128.8,1,0.8148289
195,29215,0,2018,8,20,0,1,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,168.3,2,0.99996376
196,29216,59,2017,10,29,0,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,85.0,0,0.9857817
197,29217,56,2018,11,16,0,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,75.0,0,0.9874993
198,29218,36,2018,5,21,2,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,126.9,2,0.9959474
199,29219,93,2018,10,15,2,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,115.0,0,0.27927753
200,29220,92,2018,10,29,1,1,Meal Plan 1,0,Room_Type 2,0,2,Online,0,0,0,81.5,2,0.91729707
201,29221,8,2018,6,26,2,1,Meal Plan 1,0,Room_Type 4,2,0,Offline,0,0,0,107.0,0,0.9915165
202,29222,12,2017,8,30,1,0,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.0,2,0.99993646
203,29223,141,2018,11,25,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.0,0,0.7020442
204,29224,37,2018,2,22,1,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,69.9,0,0.98187906
205,29225,88,2018,3,23,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,88.7,0,0.8129774
206,29226,0,2017,8,3,1,0,Meal Plan 1,0,Room_Type 4,2,0,Complementary,0,0,0,0.0,0,0.99575496
207,29227,81,2018,10,21,1,2,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,135.0,0,0.98633724
208,29228,4,2017,10,13,0,1,Meal Plan 1,0,Room_Type 1,1,0,Complementary,0,0,0,0.0,0,0.88978195
209,29229,57,2017,9,19,2,3,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,66.53,1,0.97456735
210,29230,8,2018,2,5,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,91.0,1,0.99969125
211,29231,1,2018,8,24,0,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,99.33,1,0.99995315
212,29232,52,2018,5,27,1,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,85.0,0,0.9713495
213,29233,71,2018,12,6,0,4,Meal Plan 1,0,Room_Type 1,3,0,Offline,0,0,0,105.0,0,0.99496657
214,29234,192,2018,6,24,0,2,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,95.0,0,0.117649436
215,29235,1,2018,7,12,0,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,116.27,1,0.9998304
216,29236,22,2017,9,1,1,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,105.0,2,0.99907106
217,29237,100,2018,9,28,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,100.0,0,0.7354994
218,29238,4,2018,3,23,0,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,72.0,1,0.9995345
219,29239,1,2018,6,14,0,4,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,121.5,1,0.9994554
220,29240,31,2018,9,16,0,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,125.1,1,0.9995695
